Aegon|Lider|Elfos|0|Melee|Barajear**deck.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Calypso|Plata|Elfos|4|Ranged|Barajear**board.false.Power==5
Lluin-dur|Clima|Elfos|0|Melee|Barajear**deck.false.Power==5
Lluin-dur|Clima|Elfos|0|Melee|Barajear**deck.false.Power==5
Lysandra|Plata|Elfos|3|Ranged|Barajear**deck.false.Power==5
Lysandra|Plata|Elfos|3|Ranged|Barajear**deck.false.Power==5
Nyx|Oro|Elfos|6|Ranged|*
Orion|Oro|Elfos|5|Ranged|*
Talon|Oro|Elfos|6|Melee|*
Teperion|Aumento|Elfos|0|Melee|*
Teperion|Aumento|Elfos|0|Melee|*
Valar|Aumento|Elfos|0|Ranged|*
Valar|Aumento|Elfos|0|Ranged|*
Valinor|Aumento|Elfos|0|Siege|*
Valinor|Aumento|Elfos|0|Siege|*
Varda-Inen|Clima|Elfos|0|Ranged|*
Varda-Inen|Clima|Elfos|0|Ranged|*
Xana|Oro|Elfos|6|Melee-Ranged|*
Yavanna|Despeje|Elfos|0|Melee-Siege-Ranged|*
Yavanna|Despeje|Elfos|0|Melee-Siege-Ranged|*
Zephyr|Oro|Elfos|5|Ranged|*
