Miguel|Oro|Matcom|10|Ranged-|Barajear*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Lider|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-|*
Diego|Oro|Matcom|10|Ranged-Melee-Asedio-|*
Diego|Oro|Matcom|10|Ranged-Melee-Asedio-|*
